tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
mrinn,42,54,810,25.62615547180176,65.35768127441406,390.0512390136719,0.0,82.78728889661366,158.93325805664062
mrinn,42,55,825,25.640743255615234,65.34674835205078,390.06573486328125,0.0,82.13261493004258,156.9139404296875
mrinn,42,56,840,25.60954818725586,65.35480499267578,390.0477600097656,0.0,82.76990817183744,158.6198272705078
mrinn,42,57,855,25.637572860717775,65.30821228027344,390.0068664550781,0.0,82.08047275571391,156.48171997070312
mrinn,42,58,870,25.58539161682129,65.22285461425781,390.0131530761719,0.0,83.23049737840734,160.53219604492188
mrinn,42,59,885,25.625375747680664,65.29964447021484,390.099853515625,0.0,81.4721473885461,155.03790283203125
mrinn,42,60,900,25.604483795166015,65.28986358642578,390.0758972167969,0.0,82.14999565481881,157.06317138671875
mrinn,42,61,915,25.609098815917967,65.17950439453125,389.9952392578125,0.0,82.24848642855073,157.8743133544922
mrinn,42,62,930,25.57425880432129,65.12342834472656,389.9673767089844,0.0,83.10883230497377,160.7066650390625
mrinn,42,63,945,25.601862716674805,65.1199722290039,389.9984436035156,0.0,81.21143651690275,153.91648864746094
mrinn,42,64,960,25.516964721679688,64.96588897705078,390.0047302246094,0.0,83.02192868109267,159.48440551757812
mrinn,42,65,975,25.585342788696288,65.07594299316406,389.95159912109375,0.0,81.70968396048782,155.4462890625
mrinn,42,66,990,25.51631317138672,64.94769287109375,389.85296630859375,0.0,82.54395874974652,158.57342529296875
mrinn,42,67,1005,25.56922149658203,65.02891540527344,389.9664306640625,0.0,81.20274615451464,153.7353973388672
mrinn,42,68,1020,25.52104721069336,64.98966217041016,389.9003601074219,0.0,82.95530256945048,159.65896606445312
mrinn,42,69,1035,25.558404159545898,65.00889587402344,389.885498046875,0.0,81.71547753541323,155.25714111328125
mrinn,42,70,1050,25.526548004150392,64.96780395507812,389.9190673828125,0.0,83.4912082500507,161.6622314453125
mrinn,42,71,1065,25.58963394165039,65.10459899902344,389.99676513671875,0.0,83.14649054198894,160.7098388671875
mrinn,42,72,1080,25.52184600830078,65.01331329345703,389.9600830078125,0.0,82.8220503461661,159.41407775878906
mrinn,42,73,1095,25.54792938232422,64.9933090209961,389.9342956542969,0.0,82.57582341183627,158.48419189453125
mrinn,42,74,1110,25.545144653320314,65.02379608154297,389.9754333496094,0.0,83.73743518438053,162.57882690429688
mrinn,42,75,1125,25.542391967773437,64.92503356933594,389.992431640625,0.0,82.21951855392369,157.53460693359375
mrinn,42,76,1140,25.518034744262696,64.95819091796875,389.99700927734375,0.0,83.31160742736306,161.1730194091797
mrinn,42,77,1155,25.555701065063477,65.00680541992188,389.9592590332031,0.0,81.76761970974191,156.0204620361328
mrinn,42,78,1170,25.565993118286134,65.09703063964844,390.0060729980469,0.0,82.24558964108803,158.17047119140625
mrinn,42,79,1185,25.543934631347657,64.96359252929688,389.930419921875,0.0,82.5265780249703,158.22262573242188
mrinn,42,80,1200,25.55284652709961,65.09256744384766,389.9594421386719,0.0,82.81335998377799,159.14825439453125
mrinn,42,81,1215,25.565646362304687,65.00154113769531,389.8802795410156,0.0,81.86611048347383,156.08203125
mrinn,42,82,1230,25.569865798950197,65.08849334716797,389.8295593261719,0.0,82.7380435097477,159.34730529785156
mrinn,42,83,1245,25.590181732177733,65.06585693359375,389.8992919921875,0.0,82.60768807392601,159.1661376953125
mrinn,42,84,1260,25.50902404785156,65.02507019042969,389.2937316894531,0.0,82.65983024825468,159.16102600097656
mrinn,42,85,1275,25.533628845214842,65.00582122802734,389.2615051269531,0.0,81.698096810637,155.7972869873047
