tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
mrinn_rolling,42,66,990,26.369940567016602,68.78099822998047,390.3895568847656,0.0,80.96520958257292,158.70941162109375
mrinn_rolling,42,67,1005,26.41583137512207,68.82962799072266,390.4677429199219,0.0,79.08809130674082,152.52975463867188
mrinn_rolling,42,68,1020,26.393332290649415,68.87921905517578,390.4761657714844,0.0,81.34179195272444,160.7450714111328
mrinn_rolling,42,69,1035,26.394450378417968,68.81480407714844,390.4732360839844,0.0,79.98899220764173,154.7412567138672
mrinn_rolling,42,70,1050,26.457275009155275,69.0846939086914,390.5849914550781,0.0,82.11233741780366,163.21096801757812
mrinn_rolling,42,71,1065,26.547883605957033,69.13358306884766,390.6058654785156,0.0,81.75313577242838,162.5589599609375
mrinn_rolling,42,72,1080,26.41815185546875,68.9851303100586,390.5601501464844,0.0,81.30703050317199,159.50595092773438
mrinn_rolling,42,73,1095,26.45963363647461,68.98162841796875,390.57244873046875,0.0,81.26068190376871,159.76026916503906
mrinn_rolling,42,74,1110,26.473040771484374,69.07527923583984,390.61260986328125,0.0,82.39042901422322,165.09799194335938
mrinn_rolling,42,75,1125,26.434823989868164,68.91036987304688,390.57452392578125,0.0,80.92465455809507,158.4007110595703
mrinn_rolling,42,76,1140,26.441773223876954,69.00563049316406,390.6004333496094,0.0,81.83134903392138,162.42234802246094
mrinn_rolling,42,77,1155,26.47923583984375,69.0245361328125,390.5741882324219,0.0,79.91077894614872,155.0554962158203
mrinn_rolling,42,78,1170,26.497025299072266,69.15872192382812,390.6164855957031,0.0,80.42351032704731,157.63568115234375
mrinn_rolling,42,79,1185,26.467113494873047,68.97901153564453,390.53411865234375,0.0,81.04631963152863,159.16038513183594
mrinn_rolling,42,80,1200,26.48184127807617,69.14264678955078,390.5564270019531,0.0,81.02604211928971,159.22132873535156
mrinn_rolling,42,81,1215,26.487236785888673,68.99192810058594,390.56475830078125,0.0,80.08168940644825,155.68447875976562
mrinn_rolling,42,82,1230,26.46316146850586,68.98045349121094,390.532958984375,0.0,80.96520958257292,159.92457580566406
mrinn_rolling,42,83,1245,26.524162673950194,69.06889343261719,390.5672302246094,0.0,81.44317951391906,161.32559204101562
