tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
lstm,42,43,645,26.066298300474955,66.28746621345688,389.73844519528205,0.0,80.18597375510559,155.65725606162107
lstm,42,44,660,26.036734581364215,66.05777016338817,389.69951388722575,0.0,80.49303322615219,155.64107456229632
lstm,42,45,675,26.08026303829252,66.41960566459977,389.7748082277673,0.0,79.91077894614872,154.0694139530799
lstm,42,46,690,26.059349614625624,65.98311297629084,389.6332769685313,0.0,80.32501955331537,155.4613074530576
lstm,42,47,705,26.039500332761623,66.83897240221368,390.0721150399579,0.0,80.63497581182469,156.62874164243956
lstm,42,48,720,26.07427912050924,65.89202188236355,389.6418101525997,0.0,81.20853972944005,164.19394233520168
lstm,42,49,735,26.0588361500421,66.64205721937499,390.56710932229987,0.0,81.59091567451696,159.9675008036976
lstm,42,50,750,26.10470318500049,65.8598129220858,390.1216124225471,0.0,80.30474204107645,155.99259064227078
lstm,42,51,765,26.061203062507815,66.3578934315527,390.362615281738,0.0,79.72538454853567,152.95400005039312
lstm,42,52,780,26.080136723311426,66.08077484757823,390.1937018780873,0.0,80.1193476434634,154.31202709052073
lstm,42,53,795,26.071631050095014,66.14923259280577,390.26525680442444,0.0,80.32212276585267,154.6199255839533
lstm,42,54,810,26.099496731556723,67.6983426227759,391.37010342709186,0.0,79.33721502853336,151.6246550866915
lstm,42,55,825,26.06555934378641,66.52419782692473,390.4597707905396,0.0,79.99768257002984,153.92790032194878
lstm,42,56,840,26.076924811565597,65.65033726228299,390.06968786948374,0.0,81.13322325540975,160.39445820004474
lstm,42,57,855,26.04337703176107,66.02150148765124,390.2343628092033,0.0,80.59731757480954,156.08792780170674
lstm,42,58,870,26.02114568939151,66.56378580551093,390.5890840911916,0.0,80.95941600764752,156.42776814855318
lstm,42,59,885,25.99340425609234,66.21891242865122,390.4622163569811,0.0,81.00866139451348,156.4333591779399
lstm,42,60,900,26.043539984233615,67.03368260270454,390.7540449307237,0.0,79.99188899510443,153.37811873151452
